Name	Quality	Genre	Detail	Particular	GoodsFive	Level	Magiclevel	TaskValue
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	9900000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	9000000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	3600000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	3000000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	3000000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	2400000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1900000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1800000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1800000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1800000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1700000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1700000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1600000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1600000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1600000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1500000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1500000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1400000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1300000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1260400000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1200000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1200000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1100000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1000000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1000000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1000000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1000000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	1000000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	900000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	900000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	900000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	900000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	900000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	700000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	700000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	700000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	700000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	600000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	600000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	600000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	600000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	600000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	560000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	560000000
Bµn Nh­îc T©m Kinh	0	6	1	12	0	1	0	240000000
Tinh Hång B¶o Th¹ch	0	4	353	1	0	1	0	200000000
ThiÕt La H¸n	0	6	1	23	0	1	0	60000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	40000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	40000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	40000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	40000000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	24000000
Phi Phong	0	6	1	15	0	1	0	15000000
Tiªn Th¶o Lé 	0	6	1	71	0	4	0	9000000
Thiªn s¬n  B¶o Lé 	0	6	1	72	0	1	0	4000000
§¹i Lùc hoµn	0	6	0	3	0	1	0	3500000
Phi Tèc hoµn	0	6	0	6	0	1	0	3000000
B¸ch Qu¶ Lé 	0	6	1	73	0	1	0	3000000
Phóc Duyªn Lé (§¹i) 	0	6	1	124	0	1	0	3000000
Tiªn Th¶o Lé 	0	6	1	71	0	3	0	2250000
Tr­êng MÖnh hoµn	0	6	0	1	0	1	0	1200000
Gia Bµo hoµn	0	6	0	2	0	1	0	1200000
Phóc Duyªn Lé (Trung) 	0	6	1	123	0	1	0	1200000
Cao ThiÓm hoµn	0	6	0	4	0	1	0	1000000
Cao Trung hoµn	0	6	0	5	0	1	0	800000
B¨ng Phßng hoµn	0	6	0	7	0	1	0	800000
L«i Phßng hoµn	0	6	0	8	0	1	0	800000
Háa Phßng hoµn	0	6	0	9	0	1	0	800000
§éc Phßng hoµn	0	6	0	10	0	1	0	800000
Phóc Duyªn Lé (TiÓu) 	0	6	1	122	0	1	0	600000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	500000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	500000
T©m T©m T­¬ng ¸nh phï 	0	6	1	18	0	1	0	300000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	30000
Tiªn Th¶o Lé 	0	6	1	71	0	1	0	10000
